科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"268,184,800.00","322,448,600.00","318,126,400.00","152,825,641.34","238,938,812.56","372,643,408.36","111,539,158.66","240,684,778.97","357,635,476.02","512,379,917.42","121,877,195.31"
取得子公司及其他营业单位支付的现金净额,"932,900.00",,,,"748,802.78","2,684,164.16",,,,,
收到的税费返还,"789,900.00","1,935,900.00","2,446,000.00","360,000.00","627,490.00","627,490.00","198,000.00","198,000.00","368,000.00","481,400.00","215,000.00"
支付其他与投资活动有关的现金,,,,"250,000.00","28,000,000.00",,,"331,241.94","331,241.94","331,241.94",
收到其他与经营活动有关的现金,"3,940,700.00","4,816,200.00","4,283,500.00","2,844,774.02","3,580,786.77","10,412,922.16","1,488,742.16","2,207,713.18","3,705,459.79","21,741,717.16","1,176,175.82"
投资活动现金流出小计,"12,890,300.00","22,497,400.00","24,157,300.00","4,216,682.79","35,116,939.60","43,668,669.21","47,487,832.53","90,275,186.32","85,869,280.75","284,953,364.38","68,740,095.12"
经营活动现金流入小计,"272,915,500.00","329,200,700.00","324,855,900.00","156,030,415.36","243,147,089.33","383,683,820.52","113,225,900.82","243,090,492.15","361,708,935.81","534,603,034.58","123,268,371.13"
投资活动产生的现金流量净额,"-12,890,300.00","-22,380,200.00","-23,831,200.00","-4,025,818.99","-34,977,795.67","-42,763,634.86","-47,268,890.07","-89,618,323.93","-85,006,771.12","-73,545,487.88","43,113,386.32"
购买商品、接受劳务支付的现金,"66,880,600.00","102,422,300.00","92,118,000.00","52,350,059.05","90,274,239.96","127,567,262.10","48,899,595.13","96,327,838.35","141,024,355.61","187,574,689.01","69,170,190.78"
吸收投资收到的现金,"56,000,000.00",,"600,000.00",,"30,000,000.00","184,012,000.00",,,,,"45,590,857.42"
支付给职工以及为职工支付的现金,"136,551,800.00","169,895,300.00","172,836,500.00","90,395,060.51","133,720,543.31","180,811,804.42","60,654,027.82","110,694,215.33","161,053,032.58","222,966,837.57","81,199,705.93"
取得借款收到的现金,"9,000,000.00","10,550,000.00","63,200,000.00","42,050,000.00","42,050,000.00","64,300,000.00",,,"3,000,000.00","3,100,000.00","22,000,000.00"
支付的各项税费,"17,340,900.00","22,467,900.00","20,610,200.00","11,289,129.82","18,312,461.63","23,461,692.21","8,704,666.35","13,277,996.75","20,384,513.14","24,784,146.62","7,424,381.92"
收到其他与筹资活动有关的现金,"2,900,000.00",,"2,775,500.00","1,034,832.00","963,832.00","10,981,683.95","5,467,421.42","5,918,820.98","5,351,312.08","3,200,000.00","4,890,000.00"
支付其他与经营活动有关的现金,"23,814,300.00","28,357,200.00","27,183,500.00","26,803,656.70","40,027,564.99","60,172,194.20","16,423,749.17","25,283,924.29","48,214,226.16","69,628,490.64","25,019,846.20"
筹资活动现金流入小计,"67,900,000.00","10,550,000.00","66,575,500.00","43,084,832.00","73,013,832.00","259,293,683.95","5,467,421.42","5,918,820.98","8,351,312.08","6,300,000.00","72,480,857.42"
经营活动现金流出小计,"244,587,500.00","323,142,700.00","312,748,100.00","180,837,906.08","282,334,809.89","392,012,952.93","134,682,038.47","245,583,974.72","370,676,127.49","504,954,163.84","182,814,124.83"
偿还债务支付的现金,,"9,500,000.00","34,250,000.00","22,200,000.00","28,200,000.00","69,050,000.00","12,750,000.00","21,750,000.00","21,870,000.00","34,550,000.00","180,000.00"
经营活动产生的现金流量净额,"28,327,900.00","6,058,000.00","12,107,700.00","-24,807,490.72","-39,187,720.56","-8,329,132.41","-21,456,137.65","-2,493,482.57","-8,967,191.68","29,648,870.74","-59,545,753.70"
分配股利、利润或偿还利息支付的现金,"5,100,100.00","8,576,500.00","1,374,000.00","1,117,017.17","1,591,838.59","3,771,957.84","321,657.10","26,942,149.29","27,883,682.54","28,085,350.02","86,323.30"
收回投资收到的现金,,,,,,,,,,"208,740,000.00","109,670,000.00"
支付其他与筹资活动有关的现金,"5,168,600.00","3,827,400.00","984,700.00","826,778.77","1,737,224.92","40,176,015.09","2,389.99","47,337.53","47,339.53","1,723,892.92","1,542,779.23"
取得投资收益收到的现金,,,,,"53,175.30","784,574.35","218,092.46","644,121.21","849,546.95","2,534,829.00","2,181,524.81"
筹资活动现金流出小计,"10,268,700.00","21,903,800.00","36,608,800.00","24,143,795.94","31,529,063.51","112,997,972.93","13,074,047.09","48,739,486.82","49,801,022.07","64,359,242.94","1,809,102.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"117,200.00","326,100.00","190,863.80","85,968.63","120,460.00",850.00,"12,741.18","12,962.68","133,047.50","1,956.63"
筹资活动产生的现金流量净额,"57,631,300.00","-11,353,800.00","29,966,700.00","18,941,036.06","41,484,768.49","146,295,711.02","-7,606,625.67","-42,820,665.84","-41,449,709.99","-58,059,242.94","70,671,754.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,,"117,200.00","326,100.00","190,863.80","139,143.93","905,034.35","218,942.46","656,862.39","862,509.63","211,407,876.50","111,853,481.44"
五、现金及现金等价物净增加额,"73,069,000.00","-27,676,100.00","18,243,200.00","-9,892,273.65","-32,680,747.74","95,202,943.75","-76,331,653.39","-134,932,472.34","-135,423,672.79","-101,955,860.08","54,239,387.51"
购建固定资产、无形资产和其他长期资产支付的现金,"11,957,400.00","22,497,400.00","24,157,300.00","3,966,682.79","6,368,136.82","16,984,505.05","4,087,832.53","11,903,944.38","19,168,038.81","30,212,122.44","8,740,095.12"
期初现金及现金等价物余额,"56,611,700.00","129,680,700.00","102,004,600.00","120,247,873.33","120,247,873.33","120,247,873.33","215,450,817.08","215,450,817.08","215,450,817.08","215,450,817.08","113,494,957.00"
投资支付的现金,,,,,,"24,000,000.00","43,400,000.00","78,040,000.00","66,370,000.00","254,410,000.00","60,000,000.00"
期末现金及现金等价物余额,"129,680,700.00","102,004,600.00","120,247,900.00","110,355,599.68","87,567,125.59","215,450,817.08","139,119,163.69","80,518,344.74","80,027,144.29","113,494,957.00","167,734,344.51"
