科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,
收回投资收到的现金,"140,311,000.00","2,012,725,000.00","14,391,219,000.00","23,327,969,000.00","39,428,255,844.35","58,460,164,980.00","69,113,964,000.00","21,104,657,000.00","36,928,201,000.00","54,948,742,000.00","75,864,489,000.00","11,457,337,000.00","30,277,837,000.00"
客户存款和同业存放款项净增加额,"10,942,871,000.00","16,096,116,000.00","4,626,787,000.00","-1,652,024,000.00","623,720,490.17","1,885,293,700.00","3,276,198,000.00","4,218,912,000.00","3,717,798,000.00","11,913,734,000.00","13,051,402,000.00","-916,375,000.00","-463,689,000.00"
取得投资收益收到的现金,"6,608,000.00","22,247,000.00","18,012,000.00","2,558,000.00","2,824,234.31","6,224,360.00","10,012,000.00","640,000.00","5,933,000.00","5,933,000.00","2,159,000.00","152,000.00","127,000.00"
向中央银行借款净增加额,,,"200,000,000.00","-100,000,000.00","-200,000,000.00","-100,000,000.00",,"-100,000,000.00","-100,000,000.00","-100,000,000.00","100,000,000.00",,"100,000,000.00"
收到其他与投资活动有关的现金,"26,626,000.00","5,000.00","3,000.00","94,000.00","173,385.19","173,390.00","382,000.00",,"26,000.00","30,000.00","47,000.00",,
向其他金融机构拆入资金净增加额,"-1,304,726,000.00","-529,999,000.00","3,917,914,000.00","1,678,596,000.00","3,171,787,633.65","-776,064,260.00","1,422,521,000.00","1,927,543,000.00","96,897,000.00","-4,505,194,000.00","-1,373,406,000.00","-1,187,585,000.00","449,363,000.00"
投资活动现金流入小计,"173,544,000.00","2,034,976,000.00","14,409,233,000.00","23,330,621,000.00","39,431,253,463.85","58,466,562,730.00","69,124,358,000.00","21,105,297,000.00","36,934,160,000.00","54,954,705,000.00","75,866,695,000.00","11,457,489,000.00","30,277,964,000.00"
收取利息、手续费及佣金的现金,"4,002,487,000.00","4,632,489,000.00","5,151,133,000.00","1,242,640,000.00","2,512,001,989.10","3,796,409,090.00","5,085,331,000.00","1,309,216,000.00","2,659,199,000.00","4,145,665,000.00","5,614,452,000.00","1,365,499,000.00","3,058,168,000.00"
投资支付的现金,"2,126,543,000.00","11,863,049,000.00","26,701,450,000.00","24,692,855,000.00","42,448,551,601.61","64,205,658,020.00","80,094,287,000.00","21,723,599,000.00","40,191,298,000.00","58,266,621,000.00","81,899,176,000.00","14,292,577,000.00","25,033,382,000.00"
处置交易性金融资产净增加额,,,,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"291,115,000.00","148,761,000.00","166,295,000.00","28,933,000.00","54,618,206.32","92,300,370.00","174,473,000.00","23,044,000.00","28,851,000.00","95,760,000.00","125,916,000.00","15,202,000.00","47,442,000.00"
回购业务资金净增加额,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,"95,742,000.00",,,,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,
投资活动现金流出小计,"2,417,658,000.00","12,011,810,000.00","26,867,745,000.00","24,721,788,000.00","42,503,169,807.93","64,297,958,390.00","80,268,760,000.00","21,746,643,000.00","40,315,891,000.00","58,362,381,000.00","82,025,092,000.00","14,307,779,000.00","25,080,824,000.00"
收到的税费返还,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-2,244,113,000.00","-9,976,834,000.00","-12,458,512,000.00","-1,391,167,000.00","-3,071,916,344.08","-5,831,395,660.00","-11,144,402,000.00","-641,346,000.00","-3,381,731,000.00","-3,407,676,000.00","-6,158,397,000.00","-2,850,290,000.00","5,197,140,000.00"
收到原保险合同保费取得的现金,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,
吸收投资收到的现金,,,,,,"789,317,790.00","789,318,000.00",,,,,,
保户储金及投资款净增加额,,,,,,,,,,,,,
发行债券收到的现金,,"3,506,222,000.00","4,862,788,000.00","3,983,827,000.00","5,075,357,700.00","8,885,368,500.00","12,418,556,000.00","4,110,171,000.00","5,124,701,000.00","8,680,906,000.00","14,137,769,000.00","7,604,368,000.00","8,810,473,000.00"
收到其他与经营活动有关的现金,"51,302,000.00","309,000,000.00","51,843,000.00","18,496,000.00","382,158,329.79","12,422,860.00","34,981,000.00","50,975,000.00","514,313,000.00","35,291,000.00","55,451,000.00","486,205,000.00","381,537,000.00"
取得借款收到的现金,,,,,,,,,,,,,
经营活动现金流入小计,"13,691,935,000.00","20,507,606,000.00","13,947,677,000.00","1,187,708,000.00","6,489,668,442.71","4,818,061,390.00","9,819,031,000.00","7,406,646,000.00","6,888,207,000.00","11,489,496,000.00","17,447,899,000.00","-252,256,000.00","3,525,379,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
客户贷款及垫款净增加额,"5,592,096,000.00","6,730,151,000.00","5,252,687,000.00","1,988,582,000.00","3,422,704,151.77","5,076,352,150.00","5,053,287,000.00","2,506,436,000.00","3,571,912,000.00","4,568,117,000.00","6,147,101,000.00","3,109,053,000.00","4,993,445,000.00"
筹资活动现金流入小计,,"3,506,222,000.00","4,862,788,000.00","3,983,827,000.00","5,075,357,700.00","9,674,686,290.00","13,207,874,000.00","4,110,171,000.00","5,124,701,000.00","8,680,906,000.00","14,137,769,000.00","7,604,368,000.00","8,810,473,000.00"
存放中央银行和同业款项净增加额,"6,835,387,000.00","1,764,292,000.00","-6,231,802,000.00","-900,209,000.00","-822,872,436.60","-10,177,600.00","-1,329,584,000.00","-314,781,000.00","-230,574,000.00","64,225,000.00","1,180,270,000.00","-965,169,000.00","-1,581,513,000.00"
偿还债务支付的现金,,,"4,140,000,000.00","2,800,000,000.00","6,800,000,000.00","7,900,000,000.00","10,080,000,000.00","5,210,000,000.00","8,560,000,000.00","11,230,000,000.00","13,970,000,000.00","2,900,000,000.00","7,580,000,000.00"
支付的手续费及佣金的现金,"1,615,903,000.00","2,048,350,000.00","1,848,466,000.00","949,403,000.00","1,266,319,759.78","1,554,079,970.00","1,826,773,000.00","714,543,000.00","1,072,974,000.00","2,069,629,000.00","2,722,864,000.00","955,237,000.00","1,362,986,000.00"
分配股利、利润或偿付利息支付的现金,"216,544,000.00","219,692,000.00","313,177,000.00","88,000.00","110,822.82","93,960,920.00","94,860,000.00","46,307,000.00","300,371,000.00","371,117,000.00","371,324,000.00","675,000.00","-353,828,000.00"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,
支付原保险合同赔付款项的现金,,,,,,,,,,,,,
筹资活动现金流出小计,"216,544,000.00","219,692,000.00","4,453,177,000.00","2,800,088,000.00","6,800,110,822.82","7,993,960,920.00","10,174,860,000.00","5,256,307,000.00","8,860,371,000.00","11,601,117,000.00","14,341,324,000.00","2,900,675,000.00","7,226,172,000.00"
支付保单红利的现金,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"-216,544,000.00","3,286,530,000.00","409,611,000.00","1,183,739,000.00","-1,724,753,122.82","1,680,725,370.00","3,033,014,000.00","-1,146,136,000.00","-3,735,670,000.00","-2,920,211,000.00","-203,555,000.00","4,703,693,000.00","1,584,301,000.00"
支付给职工以及为职工支付的现金,"322,459,000.00","361,141,000.00","389,569,000.00","108,532,000.00","200,691,617.44","302,623,000.00","407,082,000.00","105,191,000.00","203,283,000.00","305,965,000.00","427,126,000.00","112,258,000.00","208,881,000.00"
四、汇率变动对现金的影响,"-2,255,000.00","-906,000.00","-593,000.00","47,000.00","2,730,791.50","3,874,710.00","7,024,000.00","-1,905,000.00","-8,406,000.00","-15,744,000.00","-21,326,000.00","-2,260,000.00","-2,260,000.00"
支付的各项税费,"409,266,000.00","446,344,000.00","464,304,000.00","88,965,000.00","213,483,225.69","315,511,310.00","429,043,000.00","71,860,000.00","183,454,000.00","289,942,000.00","389,179,000.00","90,605,000.00","255,539,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"247,747,000.00","275,225,000.00","612,878,000.00","212,656,000.00","269,066,123.73","261,963,670.00","341,321,000.00","114,511,000.00","187,783,000.00","255,170,000.00","344,339,000.00","111,085,000.00","195,538,000.00"
