科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,
收回投资收到的现金,"470,363,457,000.00","117,713,060,000.00","852,090,331,000.00","662,777,723,000.00","1,258,627,307,000.00",,,"913,618,707,000.00",,,"467,503,976,000.00"
客户存款和同业存放款项净增加额,"28,583,788,000.00","35,462,751,000.00","45,835,025,000.00","7,988,580,000.00","18,949,345,000.00","55,342,949,000.00","3,386,785,000.00","36,172,307,000.00","56,294,037,000.00","112,032,936,000.00","19,469,348,000.00"
取得投资收益收到的现金,"2,472,580,000.00","2,544,068,000.00","3,867,044,000.00","1,708,804,000.00","1,519,555,000.00","7,131,218,000.00","2,542,744,000.00","5,105,633,000.00","8,503,912,000.00","11,139,230,000.00","3,603,553,000.00"
向中央银行借款净增加额,,,"1,190,000,000.00",,,,,,,,
收到其他与投资活动有关的现金,"35,832,323,000.00","89,369,470,000.00","136,039,866,000.00","84,794,898,000.00","181,000.00","2,202,732,716,000.00","545,619,563,000.00","174,159,133,000.00","1,761,583,925,000.00",,"148,861,807,000.00"
向其他金融机构拆入资金净增加额,,,,,,"26,772,533,000.00","14,964,421,000.00","14,492,717,000.00","10,761,218,000.00",,"5,080,397,000.00"
投资活动现金流入小计,"508,668,360,000.00","209,626,598,000.00","991,997,241,000.00","749,281,425,000.00","1,371,949,043,000.00","2,209,863,934,000.00","548,162,307,000.00","1,092,883,473,000.00","1,770,087,837,000.00","2,393,133,238,000.00","619,969,336,000.00"
收取利息、手续费及佣金的现金,"15,755,163,000.00","19,637,304,000.00","22,842,602,000.00","11,604,131,000.00","19,272,032,000.00","19,441,649,000.00","4,690,137,000.00","9,714,264,000.00","15,283,896,000.00","21,414,520,000.00","5,792,686,000.00"
投资支付的现金,,,"205,000,000.00",,"18,407,000.00","2,346,258,044,000.00","466,566,146,000.00","902,508,335,000.00",,,"452,952,663,000.00"
处置交易性金融资产净增加额,,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,,
拆入资金净增加额,,,,,,"26,772,533,000.00",,,,"8,369,511,000.00",
购建固定资产、无形资产和其他长期资产支付的现金,"332,852,000.00","218,889,000.00","158,834,000.00","34,751,000.00","67,123,000.00","119,716,000.00","51,577,000.00","70,358,000.00","139,748,000.00","216,078,000.00","18,717,000.00"
回购业务资金净增加额,,,,,,"28,292,112,000.00",,,,,
支付其他与投资活动有关的现金,"482,824,177,000.00","125,487,099,000.00","857,389,819,000.00","670,514,055,000.00","1,268,431,843,000.00","167,278,000.00","58,161,481,000.00","166,191,714,000.00","1,778,095,658,000.00",,"103,705,996,000.00"
销售商品、提供劳务收到的现金,,,,,,,,,,,
投资活动现金流出小计,"524,593,548,000.00","255,345,116,000.00","1,079,091,781,000.00","780,605,897,000.00","1,438,400,835,000.00","2,346,545,038,000.00","524,779,204,000.00","1,068,770,407,000.00","1,778,235,406,000.00","2,461,293,701,000.00","556,677,376,000.00"
收到的税费返还,,,,,,,,,,,
投资活动产生的现金流量净额,"-15,925,188,000.00","-45,718,518,000.00","-87,094,540,000.00","-31,324,472,000.00","-66,451,792,000.00","-136,681,104,000.00","23,383,103,000.00","24,113,066,000.00","-8,147,569,000.00","-68,160,463,000.00","63,291,960,000.00"
收到原保险合同保费取得的现金,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,
吸收投资收到的现金,,"1,839,075,000.00",,,,"3,610,705,000.00",,,,"9,979,209,000.00",
保户储金及投资款净增加额,,,,,,,,,,,
发行债券收到的现金,,"17,701,645,000.00","101,979,644,000.00","104,918,907,000.00","165,301,432,000.00","239,741,906,000.00","72,574,270,000.00","105,025,783,000.00","163,391,227,000.00","246,206,257,000.00","30,685,906,000.00"
收到其他与经营活动有关的现金,"3,332,021,000.00","1,978,573,000.00","767,453,000.00","220,362,000.00","29,928,885,000.00","28,505,596,000.00","6,909,735,000.00","7,656,110,000.00","48,021,900,000.00","1,366,562,000.00","22,214,500,000.00"
取得借款收到的现金,,,,,,,,,,,
经营活动现金流入小计,"57,153,729,000.00","90,835,139,000.00","83,763,869,000.00","50,837,111,000.00","115,619,713,000.00","146,984,316,000.00","34,399,991,000.00","68,337,196,000.00","130,361,051,000.00","149,546,958,000.00","54,769,661,000.00"
收到其他与筹资活动有关的现金,,"1,986,642,000.00",,,,,,,,,
客户贷款及垫款净增加额,"22,036,386,000.00","25,173,002,000.00","20,560,462,000.00","18,326,212,000.00","23,912,155,000.00","34,335,643,000.00","17,518,405,000.00","27,389,286,000.00","34,527,594,000.00","39,558,265,000.00","14,169,537,000.00"
筹资活动现金流入小计,,"21,527,362,000.00","101,979,644,000.00","104,918,907,000.00","165,301,432,000.00","243,352,611,000.00","72,574,270,000.00","105,025,783,000.00","163,391,227,000.00","256,185,466,000.00","30,685,906,000.00"
存放中央银行和同业款项净增加额,"8,279,251,000.00","23,126,390,000.00","5,449,696,000.00","2,259,111,000.00","6,160,357,000.00","8,803,620,000.00","10,756,730,000.00","11,326,785,000.00","4,641,953,000.00","7,877,284,000.00",
偿还债务支付的现金,"998,418,000.00","3,993,202,000.00","35,554,656,000.00","90,750,000,000.00","126,810,000,000.00","166,090,000,000.00","56,590,000,000.00","122,940,000,000.00","188,690,000,000.00","259,420,000,000.00","51,460,000,000.00"
支付的手续费及佣金的现金,"6,456,637,000.00","9,931,528,000.00","10,351,116,000.00","5,534,712,000.00","7,644,132,000.00","10,025,414,000.00","2,090,342,000.00","4,517,697,000.00","7,257,960,000.00","11,778,498,000.00","4,050,982,000.00"
分配股利、利润或偿付利息支付的现金,,,,,,"713,999,000.00","670,136,000.00","1,699,814,000.00","1,702,289,000.00","1,949,702,000.00","553,883,000.00"
购买商品、提供劳务支付的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,
支付原保险合同赔付款项的现金,,,,,,,,,,,
筹资活动现金流出小计,"1,860,118,000.00","4,803,444,000.00","37,768,572,000.00","91,144,302,000.00","127,448,200,000.00","166,803,999,000.00","57,260,136,000.00","124,639,814,000.00","190,392,289,000.00","261,369,702,000.00","52,013,883,000.00"
支付保单红利的现金,,,,,,,,,,,
筹资活动产生的现金流量净额,"-1,860,118,000.00","16,723,918,000.00","64,211,072,000.00","13,774,605,000.00","37,853,232,000.00","76,548,612,000.00","15,314,134,000.00","-19,614,031,000.00","-27,001,062,000.00","-5,184,236,000.00","-21,327,977,000.00"
支付给职工以及为职工支付的现金,"1,958,131,000.00","1,931,000,000.00","2,111,766,000.00","1,507,739,000.00","2,006,638,000.00","2,541,703,000.00","1,252,667,000.00","1,726,687,000.00","2,296,471,000.00","2,905,405,000.00","1,368,254,000.00"
四、汇率变动对现金的影响,"-47,213,000.00","-2,341,000.00","-12,439,000.00","80,236,000.00","95,302,000.00","214,243,000.00","-296,000.00","-68,064,000.00","-104,958,000.00","-167,992,000.00","-142,101,000.00"
支付的各项税费,"2,087,467,000.00","1,857,011,000.00","1,726,221,000.00","1,186,941,000.00","1,626,810,000.00","2,046,211,000.00","300,210,000.00","1,163,389,000.00","1,560,575,000.00","1,975,630,000.00","441,029,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,
支付其他与经营活动有关的现金,"6,456,969,000.00","1,275,654,000.00","5,408,028,000.00","542,811,000.00","1,121,368,000.00","1,467,436,000.00","10,400,942,000.00","5,585,660,000.00","21,599,530,000.00","1,730,619,000.00","2,859,439,000.00"
五、现金及现金等价物净增加额,"-34,864,824,000.00","-20,018,753,000.00","11,990,274,000.00","-10,181,008,000.00","22,777,032,000.00","23,314,855,000.00","23,516,706,000.00","21,058,663,000.00","23,223,379,000.00","-9,408,662,000.00","54,234,424,000.00"
经营活动现金流出小计,"74,186,034,000.00","81,856,951,000.00","48,877,688,000.00","43,548,488,000.00","64,339,423,000.00","63,751,212,000.00","49,580,226,000.00","51,709,504,000.00","71,884,083,000.00","85,442,929,000.00","42,357,119,000.00"
期初现金及现金等价物余额,"74,519,023,000.00","39,654,199,000.00","19,635,446,000.00","31,625,720,000.00","31,541,055,000.00","31,625,720,000.00","54,940,575,000.00","54,940,575,000.00","54,940,575,000.00","54,940,575,000.00","45,531,913,000.00"
经营活动产生的现金流量净额,"-17,032,305,000.00","8,978,188,000.00","34,886,181,000.00","7,288,623,000.00","51,280,290,000.00","83,233,104,000.00","-15,180,235,000.00","16,627,692,000.00","58,476,968,000.00","64,104,029,000.00","12,412,542,000.00"
期末现金及现金等价物余额,"39,654,199,000.00","19,635,446,000.00","31,625,720,000.00","21,444,712,000.00","54,318,087,000.00","54,940,575,000.00","78,457,281,000.00","75,999,238,000.00","78,163,954,000.00","45,531,913,000.00","99,766,337,000.00"
二、投资活动产生的现金流量,,,,,,,,,,,
,,,,,,,,,,,
