科目,2007-06-30
货币资金,"8,418.75"
短期借款,"390,701,810.30"
交易性金融资产,
交易性金融负债,
应收票据,"125,000.00"
应付票据,
应收账款,"68,139,702.92"
应付账款,"191,538,539.99"
预付款项,"87,279,419.98"
预收款项,"94,952,100.63"
其他应收款,"40,976,672.13"
应付职工薪酬,"25,976,922.71"
应收关联公司款,
应交税费,"117,351,598.20"
应收利息,
应付利息,"284,255,147.51"
应收股利,
应付股利,"3,541,470.00"
存货,"65,281,343.02"
其他应付款,"59,666,890.48"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"300,000,000.00"
其他流动资产,
其他流动负债,
流动资产合计,"261,810,556.80"
流动负债合计,"1,467,984,479.82"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"92,818,346.99"
专项应付款,
投资性房地产,
预计负债,"15,997,166.84"
固定资产,"377,933,804.99"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,"3,461,071.46"
非流动负债合计,"15,997,166.84"
固定资产清理,
负债合计,"1,483,981,646.66"
生产性生物资产,
实收资本(或股本),"227,448,000.00"
油气资产,
资本公积,"245,911,945.90"
无形资产,
盈余公积,"31,279,149.54"
开发支出,
减:库存股,
商誉,
未分配利润,"-1,252,596,961.86"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"474,213,223.44"
所有者权益(或股东权益)合计,"-747,957,866.42"
资产总计,"736,023,780.24"
负债和所有者(或股东权益)合计,"736,023,780.24"
