科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,552,635,068.76","1,804,218,497.46","1,797,060,417.79","335,178,237.66","814,414,470.81","1,403,670,031.95"
取得子公司及其他营业单位支付的现金净额,,,,,,
收到的税费返还,,,,,,
支付其他与投资活动有关的现金,,,,,,
收到其他与经营活动有关的现金,"27,192,601.96","25,039,943.97","32,355,365.62","4,712,259.20","36,645,311.79","47,541,172.49"
投资活动现金流出小计,"113,755,129.61","658,772,785.38","934,542,756.53","237,166,666.81","1,210,095,612.81","2,462,213,363.09"
经营活动现金流入小计,"1,579,827,670.72","1,829,258,441.43","1,829,415,783.41","339,890,496.86","851,059,782.60","1,451,211,204.44"
投资活动产生的现金流量净额,"-62,676,429.60","-243,548,178.54","103,867,766.26","-68,299,418.01","-1,076,457,776.44","-1,124,956,605.68"
购买商品、接受劳务支付的现金,"895,188,549.43","822,875,690.32","887,408,428.25","221,535,155.12","524,339,386.09","891,419,765.95"
吸收投资收到的现金,"77,670,000.00","90,479,142.00",,"1,265,561,020.00","1,286,989,620.00","1,286,989,620.00"
支付给职工以及为职工支付的现金,"269,866,877.93","281,607,577.77","306,339,260.62","76,910,335.49","162,188,635.96","253,744,461.89"
取得借款收到的现金,"231,500,000.00","176,900,000.00",,,,
支付的各项税费,"154,833,569.22","203,255,390.52","206,772,547.32","36,474,910.29","74,389,137.97","119,266,596.91"
收到其他与筹资活动有关的现金,,"300,000.00",,,,
支付其他与经营活动有关的现金,"153,830,937.37","171,268,520.30","205,981,585.79","48,985,450.51","106,148,966.89","191,167,011.42"
筹资活动现金流入小计,"309,170,000.00","267,679,142.00",,"1,265,561,020.00","1,286,989,620.00","1,286,989,620.00"
经营活动现金流出小计,"1,473,719,933.95","1,479,007,178.91","1,606,501,821.98","383,905,851.41","867,066,126.91","1,455,597,836.17"
偿还债务支付的现金,"223,700,000.00","280,500,000.00","58,400,000.00",,,
经营活动产生的现金流量净额,"106,107,736.77","350,251,262.52","222,913,961.43","-44,015,354.55","-16,006,344.31","-4,386,631.73"
分配股利、利润或偿还利息支付的现金,"139,964,741.90","37,642,600.36","210,975,629.20",,,
收回投资收到的现金,"45,000,000.00","410,000,000.00","1,028,400,000.00","168,000,000.00","132,000,000.00","1,325,000,000.00"
支付其他与筹资活动有关的现金,"300,000.00","6,937,500.00","2,621,000.00",,"13,266,600.00","13,266,600.00"
取得投资收益收到的现金,"386,200.01","4,569,506.84","6,882,202.79","859,043.67","1,628,884.92","12,240,782.71"
筹资活动现金流出小计,"363,964,741.90","325,080,100.36","271,996,629.20",,"13,266,600.00","13,266,600.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"44,000.00","55,100.00","28,320.00","8,205.13","8,951.45","15,974.70"
筹资活动产生的现金流量净额,"-54,794,741.90","-57,400,958.36","-271,996,629.20","1,265,561,020.00","1,273,723,020.00","1,273,723,020.00"
处置子公司及其他营业单位收到的现金净额,,,,,,
四、汇率变动对现金的影响,"-45,368.59","25,233.33","46,712.17","-9,557.28","-27,789.69","-41,033.07"
收到其他与投资活动有关的现金,"5,648,500.00","600,000.00","3,100,000.00",,,
四(2)、其他原因对现金的影响,,,,,,
投资活动现金流入小计,"51,078,700.01","415,224,606.84","1,038,410,522.79","168,867,248.80","133,637,836.37","1,337,256,757.41"
五、现金及现金等价物净增加额,"-11,408,803.32","49,327,358.95","54,831,810.66","1,153,236,690.16","181,231,109.56","144,338,749.52"
购建固定资产、无形资产和其他长期资产支付的现金,"61,755,129.61","29,772,785.38","45,142,756.53","68,166,666.81","85,095,612.81","98,213,363.09"
期初现金及现金等价物余额,"122,355,906.93","110,947,103.61","160,274,462.56","215,106,273.22","215,106,273.22","215,106,273.22"
投资支付的现金,"52,000,000.00","629,000,000.00","889,400,000.00","169,000,000.00","1,125,000,000.00","2,364,000,000.00"
期末现金及现金等价物余额,"110,947,103.61","160,274,462.56","215,106,273.22","1,368,342,963.38","396,337,382.78","359,445,022.74"
