科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"499,760,665.41","419,389,060.29","469,366,243.11","57,520,421.87","250,215,443.52","374,238,900.24","428,164,472.99","167,952,748.86","392,334,887.41","650,132,990.14","772,421,645.12","181,861,093.05","448,551,846.30","697,505,360.79","947,142,312.05","159,009,687.61"
取得子公司及其他营业单位支付的现金净额,"41,242,254.71",,,,,"-8,265,431.84",,,,,"32,927,121.21",,,,,
收到的税费返还,"434,468.61","4,953,342.42","5,556,176.06","3,327,208.03","4,193,162.35","4,334,232.90","4,153,162.35","3,376,518.76","16,973,774.37","27,028,699.95","32,705,404.65","14,367,707.13","33,234,585.90","47,994,551.32","59,767,624.38","5,815,821.01"
支付其他与投资活动有关的现金,,,,,,,,,,"950,000.00",,"149,227,000.00","351,836,607.00","646,066,732.57",,
收到其他与经营活动有关的现金,"1,175,362.80","17,582,786.67","10,002,706.54","1,910,842.75","2,496,119.79","6,858,412.30","7,630,446.85","431,203.68","4,985,712.44","4,901,399.73","39,465,835.04","1,809,209.46","12,455,201.98","13,680,458.05","8,094,846.17","87,301,715.84"
投资活动现金流出小计,"103,288,901.91","105,423,595.19","49,077,084.82","8,133,899.44","11,361,053.66","9,837,848.38","181,350,332.94","5,869,320.73","12,526,019.44","22,742,938.60","82,595,554.46","161,089,965.13","394,922,830.55","705,782,804.99","839,875,660.35","39,872,063.80"
经营活动现金流入小计,"501,370,496.82","441,925,189.38","484,925,125.71","62,758,472.65","256,904,725.66","385,431,545.44","439,948,082.19","171,760,471.30","414,294,374.22","682,063,089.82","844,592,884.81","198,038,009.64","494,241,634.18","759,180,370.16","1,015,004,782.60","252,127,224.46"
投资活动产生的现金流量净额,"-102,777,301.91","-105,423,595.19","-48,948,623.09","-8,133,899.44","-11,360,053.66","-9,836,848.38","-173,078,558.94","-2,513,123.64","-9,159,822.35","-18,093,741.51","-82,396,102.35","-124,460,350.62","-108,056,437.82","-138,731,711.28","-70,861,746.82","-39,791,122.13"
购买商品、接受劳务支付的现金,"436,302,846.57","397,589,858.64","364,811,279.59","88,613,639.62","211,249,348.31","312,183,188.02","324,126,017.39","132,072,732.73","333,482,841.02","483,063,821.39","525,145,411.85","152,680,261.62","402,633,976.21","641,407,419.88","902,205,131.01","165,508,799.70"
吸收投资收到的现金,,,,,"192,796,000.00","192,796,000.00","194,796,000.00",,,,,,,"2,676,465.00","2,676,465.00",
支付给职工以及为职工支付的现金,"11,398,202.92","15,474,255.15","18,625,252.78","4,594,298.22","8,388,535.04","13,460,460.99","19,454,080.24","8,698,394.43","15,041,157.28","21,513,556.72","28,848,066.49","10,137,576.29","16,876,285.18","25,745,298.22","36,850,921.75","14,091,786.72"
取得借款收到的现金,"233,120,000.00","287,609,441.25","361,213,672.00","90,500,000.00","194,400,000.00","242,295,622.00","342,900,000.00","107,300,000.00","267,300,000.00","484,945,000.00","534,468,400.00","30,000,000.00","201,712,000.00","298,437,590.00","399,668,601.20","24,300,000.00"
支付的各项税费,"18,257,850.48","13,289,478.01","31,518,891.07","5,188,885.34","7,229,435.73","12,430,515.52","22,656,432.74","14,212,415.22","36,319,480.06","52,106,394.87","58,499,107.67","30,865,566.89","48,640,860.71","63,716,353.49","82,935,119.37","8,508,592.24"
收到其他与筹资活动有关的现金,,"26,055,000.00",,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"21,399,596.33","18,513,468.20","18,932,979.22","5,278,283.87","13,774,721.07","24,240,551.98","23,646,647.02","27,198,515.76","45,929,543.08","109,174,370.48","76,343,171.19","12,155,036.31","15,968,280.73","30,665,942.50","50,946,196.27","21,064,017.05"
